University,University-Country,Exchange-Course-Code,Exchange-Course-Title,HKU-Course-Code,HKU-Course-Title
Murdoch University,Australia,BMS324,Clinical Microbiology I,BBMS3004,Molecular Diagnostics Laboratory
Murdoch University,Australia,BMS327,Diagnostic Genome,BBMS3009,Genome Science
Murdoch University,Australia,EGL101,"Drama, Theatre and Performances",,Elective
Murdoch University,Australia,PHO124,Photography 1,,Elective
University of Leeds,Australia,BMSC1212,Introduction to Pharmacology,BBMS2005,Biomedical Pharmacology
University of Leeds,Australia,BIOL3215,Cancer biology,BBMS3007,Cancer Biology
University of Leeds,Australia,BLGY2296,Human Genetics,BBMS2003,Human Genetics
University of Leeds,Australia,BLGY2201,Introduction to bioinformatics,BIOC3605,Sequence Bioinformatics
University of Sydney,Australia,BIOS3345,Physiotherapy and Ageing,,Elective
University of Sydney,Australia,HSBH3008,Interdisciplinary eHealth,,Elective
University of Sydney,Australia,PHTY5195,Neurological Physiotherapy,,Elective
University of Sydney,Australia,PHTY5137,Musculoskeletal Physiotherapy 1B,,Elective
University of Sydney,Australia,PHTY5136,Musculoskeletal Physiotherapy 1A,,Elective
University of Sydney,Australia,PHTY5192,Cardiopulmonary Physiotherapy,,Elective
University of Sydney,Australia,HSBH3025,Bodily Senses in Health and Disease,,Elective
University of Sydney,Australia,EXSS2030,Muscle Adaptations to Use and Disuse,,Elective
University of Sydney,Australia,BIOS1171,Neuroscience,,Elective
University of Sydney,Australia,BIOS1169,Functional Musculoskeletal Anatomy B,,Elective
University of Sydney,Australia,EXSS1036,Fundamentals of Exercise Physiology,EXSC2003,Exercise physiology
University of Sydney,Australia,EXSS1038,Principles of Biomechanics,EXSC2009,Exercise Biomechanics
University of Sydney,Australia,EXSS2030,Muscle Adaptations to Use and Disuse,,Elective
University of Sydney,Australia,BIOS3065,Anatomical Analysis of Exercise,,Elective
University of New South Wales,Australia,BABS1111,Big Fat Myths,,Elective
University of New South Wales,Australia,PHCM2003,Health Promotion,,Elective
University of New South Wales,Australia,CLIM1001,Introduction to Climate Change,,Elective
University of New South Wales,Australia,BABS1111,Big Fat Myths,,Elective
University of New South Wales,Australia,PHCM2003,Health Promotion,,Elective
University of New South Wales,Australia,CLIM1001,Introduction to Climate Change,,Elective
University of New South Wales,Australia,BABS1111,Big Fat Myths,,Elective
University of New South Wales,Australia,PHCM2003,Health Promotion,,Elective
University of New South Wales,Australia,CLIM1001,Introduction to Climate Change,,Elective
University of Sydney,Australia,PCOL2021,Key Concepts in Pharmacology,BBMS2005,Biomedical Pharmacology
University of Sydney,Australia,EDGU1003,Diet and Nutrition for Health and Sport,EXSC3017,Nutrition for Exercise and Health
University of Sydney,Australia,EDGU 1004,"Young People, Sex, and Sexual Health",,Elective
University of Sydney,Australia,BIOS1169,Functional Musculoskeletal Anatomy B,,Elective
University of Sydney,Australia,EXSS1029,Muscle Mechanics and Training,,Elective
University of Sydney,Australia,BIOS1171,Neuroscience,,Elective
University of Sydney,Australia,PHTY5201,Physiotherapy across the Lifespan,,Elective
University of Sydney,Australia,PHTY5192,Cardiopulmonary Physiotherapy,,Elective
University of Sydney,Australia,PHTY5136,Musculoskeletal Physiotherapy 1A,,Elective
University of Sydney,Australia,PHTY5137,Musculoskeletal Physiotherapy 1B,,Elective
University of Sydney,Australia,PHTY5195,Neurological Physiotherapy,,Elective
Monash University,Australia,HUP3011,Human Pathology 1: Understanding Disease  Processes,BBMS3003,Mechanisms and Pathology of Diseases
Monash University,Australia,IMM2011,Basic Immunology: The Body’s Defence  System,BBMS3005,Infection and Immunity
Monash University,Australia,BCH3990,Action in Biochemistry Research Project,,Elective
Monash University,Australia,FIT1045,Algorithms and Programming Fundamentals  in Python,,Elective
Macquarie University,Australia,AHMG101,Greek Heroes and Heroines: From Achilles  to Zorba,,Elective
Macquarie University,Australia,ANTH107,"Saint, Shamans, Cults and Demons: The  Anthropology of Contemporary Religions",,Elective
Macquarie University,Australia,ASTR170,Introductory Astronomy: Our Place in the  Universe,,Elective
Macquarie University,Australia,PHL137,Critical Thinking,,Elective
University of Sydney,Australia,MICR2022,Microbes in Society,BBMS3001,Medical Microbiology
University of Sydney,Australia,BCHM3072,Human Molecular Cell Biology,BBMS3002,Molecular Biology of the Cell
University of Sydney,Australia,CPAT3201,Pathogenesis of Human Disease1,BBMS3003,Mechanisms and Pathology of Diseases
University of Sydney,Australia,NEUR3003,Cellular and Developmental neuroscience,,Elective
University of Sydney,Australia,BIOS1169,Functional Musculoskeletal Anatomy B,,Elective
University of Sydney,Australia,HSBH2009,Innovations in eHealth,,Elective
University of Sydney,Australia,MRTY1036,Health Physics and Radiation Biology,,Elective
University of Sydney,Australia,MRSC5003,Foundations of Health Care Practice,,Elective
University of Sydney,Australia,BIOS5092,Bio Sciences for Health Professionals,,Elective
University of Sydney,Australia,MRSC5045,MRS 1 Radiography,,Elective
University of Sydney,Australia,MRSC5001,Professional Practice Radiography 1,,Elective
University of Sydney,Australia,MRSC5026,Clinical Studies Radiography 1,,Elective
University of Sydney,Australia,BIOS1158,"Structure, Function and Disease B",,Elective
University of Sydney,Australia,HSBH1013,Society and Health,,Elective
University of Sydney,Australia,BIOS1169,Functional Musculoskeletal Anatomy B,,Elective
University of Sydney,Australia,EXSS1029,Muscle Mechanics and Training,,Elective
University of Sydney,Australia,PHTY5201,Physiotherapy across the Lifespan,,Elective
University of Sydney,Australia,BIOS1171,Neuroscience,,Elective
University of Sydney,Australia,PHTY5192,Cardiopulmonary Physiotherapy,,Elective
University of Sydney,Australia,PHTY5136,Musculoskeletal Physiotherapy 1A,,Elective
University of Sydney,Australia,PHTY5137,Musculoskeletal Physiotherapy 1B,,Elective
University of Sydney,Australia,PHTY5195,Neurological Physiotherapy,,Elective
University of Sydney,Australia,BIOS1169,Functional Musculoskeletal Anatomy B,,Elective
University of Sydney,Australia,EXSS1029,Muscle Mechanics and Training,,Elective
University of Sydney,Australia,PHTY5201,Physiotherapy across the Lifespan,,Elective
University of Sydney,Australia,BIOS1171,Neuroscience,,Elective
University of Sydney,Australia,PHTY5192,Cardiopulmonary Physiotherapy,,Elective
University of Sydney,Australia,PHTY5136,Musculoskeletal Physiotherapy 1A,,Elective
University of Sydney,Australia,PHTY5137,Musculoskeletal Physiotherapy 1B,,Elective
University of Sydney,Australia,PHTY5195,Neurological Physiotherapy,,Elective
Simon Fraser University,Canada,MBB 446,The Molecular Biology of Cancer,BBMS3007,Cancer Biology
Simon Fraser University,Canada,MBB 342,Introduction to Genomics and Bioinformatics,BIOC3605,Sequence Bioinformatics
Simon Fraser University,Canada,MBB 438,Human Molecular Genetics,BBMS3009,Genome Science
Simon Fraser University,Canada,MBB 326,Introduction to the Immune System,BBMS3005,Infection and Immunity
Simon Fraser University,Canada,BPK 110,Human Nutrition: Current Issues,,Elective
University of Western Ontario,Canada,MICROIMM2500B,The Biology of Infection,BBMS3010,Emerging Infections
University of Western Ontario,Canada,ANATCELL3329B,Medical Cell Biology,BBMS3002,Molecular Biology of the Cell
