University,University-Country,Exchange-Course-Code,Exchange-Course-Title,HKU-Course-Code,HKU-Course-Title
Australian National University,Australia,ASIA2039,Burma/Myanmar - a Country in Crisis,TGCR9000,Global Citizenship for Social Sciences
Australian National University,Australia,POLS2133,International Organisations in World Politics,TGCR9000,Global Citizenship for Social Sciences
Australian National University,Australia,PSYC2007,Biological Basis of Behaviour,PSYC2022,Biological psychology
Australian National University,Australia,PSYC2008,Cognition,PSYC2007,Cognitive psychology
Australian National University,Australia,PSYC2011,Introduction to Forensic and Criminal Psychology,TGCR9000,Global Citizenship for Social Sciences
Australian National University,Australia,PSYC3026,Personality Psychology,TGCR9000,Global Citizenship for Social Sciences
Deakin University,Australia,ACR203,"Crime, Victims and Justice",TGCR9000,Global Citizenship for Social Sciences
Deakin University,Australia,AGS200,Cultural Studies of Sex and Gender,TGCR9000,Global Citizenship for Social Sciences
Deakin University,Australia,AIP230,Understanding Public Policy,POLI3027,Public policy-making: theories and application
Deakin University,Australia,AIP243,Europe's Political Transformation,EUST1010,Foundations of European Studies
Deakin University,Australia,AIP301,Political Parties and Social Movements,TPOL9000,Unmapped advanced course for Politics and Public Administration
Deakin University,Australia,AIR345,American Foreign Policy,POLI3047,United States foreign policy
Deakin University,Australia,ASC207,"Consumerism, Gender And Sustainability",TGCR9000,Global Citizenship for Social Sciences
Deakin University,Australia,ASC210,Youth Culture and Identity,TGCR9000,Global Citizenship for Social Sciences
Deakin University,Australia,ASC211,Religion and Social Change,SOCI2061,Religion and society
Deakin University,Australia,ASP215,"Philosophy, Happiness, and the Good Life",TFSS9000,Unmapped advanced course for Social Sciences
Deakin University,Australia,EDU201,Educational Psychology,PSYC2035,Introduction to educational psychology
Deakin University,Australia,EDU201,Educational Psychology,TGCR9000,Global Citizenship for Social Sciences
Deakin University,Australia,HPS203,The Human Mind,PSYC2007,Cognitive psychology
Deakin University,Australia,HPS310,"Brain, Biology and Behaviour",PSYC2022,Biological psychology
Deakin University,Australia,HSE113,"Human Growth, Development and Ageing for Exercise Scientists",TFSS9001,Unmapped introductory course for Social Sciences
Deakin University,Australia,MAE203,The Global Economy,TGCR9000,Global Citizenship for Social Sciences
Deakin University,Australia,MMM240,Organisational Behaviour,TGCR9000,Global Citizenship for Social Sciences
Flinders University,Australia, SOCI2015 ,Sociology of Deviance,TSOC9000,Unmapped advanced course for Sociology
Flinders University,Australia,3105,Intercultural Communication in Everyday Life  ,TGCR9000,Global Citizenship for Social Sciences
Flinders University,Australia,CRIM2201,Punishment and Society,SOCI2047,Sociology of punishment
Flinders University,Australia,CRIM2301,Criminal Law in Context,TFSS9000,Unmapped advanced course for Social Sciences
Flinders University,Australia,CRIM3302,International Criminal Justice,SOCI2076,Globalization and crime
Flinders University,Australia,FREN1201,Introductory French Part 1,FREN1001,French I.1
Flinders University,Australia,LING2103,"Language, Culture and Communication",TGCR9000,Global Citizenship for Social Sciences
Flinders University,Australia,PHIL1010  ,Mind and World,TFSS9001,Unmapped introductory course for Social Sciences
Flinders University,Australia,PHIL2607  ,Happiness and the Good Life,PHIL2320,Happiness
Flinders University,Australia,PSYC1107,The Psychology of Weird and Wonderful Ideas,TGCR9000,Global Citizenship for Social Sciences
Flinders University,Australia,PSYC3004,Advanced Social Psychology,TPSY9000,Unmapped advanced course for Psychology
Flinders University,Australia,PSYC3008,Applied Cognitive Psychology,TPSY9000,Unmapped advanced course for Psychology
Flinders University,Australia,PSYC3236,Forensic Psychology: Legal and Clinical,TGCR9000,Global Citizenship for Social Sciences
Flinders University,Australia,SOAD2002,Human Social Development,SOWK1004,Human behaviour and the social environment (I)
Flinders University,Australia,SOAD2006,Community Development,SOWK3109,Foundation of social work practice III
Flinders University,Australia,SPAN1201,Introductory Spanish Part 1,SPAN1001,Spanish I.1
Griffith University,Australia,1003MKT,Introduction to Marketing ,MKTG2501,Introduction to marketing
Griffith University,Australia,1011PSY,Psychology in Professional Contexts,TGCR9000,Global Citizenship for Social Sciences
Griffith University,Australia,1043SCG,Introduction to Environmental Sustainability,TGEO9001,Unmapped introductory course for Geography
Griffith University,Australia,2005EHR,Organisational Behaviour,TGCR9000,Global Citizenship for Social Sciences
Griffith University,Australia,2006GIR,"Politics, Spin and the Media",TPOL9000,Unmapped advanced course for Politics and Public Administration
Griffith University,Australia,2007CCJ,Sociology of Crime,TGCR9000,Global Citizenship for Social Sciences
Griffith University,Australia,2007PSY,Biological Psychology ,PSYC2022,Biological psychology
