University,University-Country,Exchange-Course-Code,Exchange-Course-Title,HKU-Course-Code,HKU-Course-Title
Australian National University,Australia,MKTG2033,Advertising,MKTG3511,Advertising Management
Australian National University,Australia,FINM3045,Asian capital markets,FINAxxxx,Elective
Australian National University,Australia,BUSN3002,Auditing,ACCT3109,Auditing
Australian National University,Australia,INFS1001,Business Information Systems,IIMT2601,Management Information Systems
Australian National University,Australia,MGMT2005,Career planning and management,MGMT3458,Human resource planning and career management
Australian National University,Australia,MKTG2031,Consumer Behaviour,MKTG3501,Consumer behaviour
Australian National University,Australia,FINM3003,Continuous Time Finance,FINA3350,Mathematical Finance
Australian National University,Australia,FINA2222,Corporate financial policy,FINA2323,Theories of corporate finance
Australian National University,Australia,MGMT3015,Corporate strategy,STRA4701,Strategic management
Australian National University,Australia,FINM3005,Corporate valuation,FINAxxxx,Elective
Australian National University,Australia,CRIM 1001	,Criminological Imaginations: Understanding Criminality,SOCI2071,Criminology
Australian National University,Australia,PSYC 2002	,Developmental Psychology,PSYC2009,Life-Span Developmental Psychology
Australian National University,Australia,ENVS2007,Economics for the environment,ECON3232,Environmental Economics
Australian National University,Australia,FINM3006,Financial Intermediation and Debt Markets,FINAxxxx,Elective (Advanced Level)
Australian National University,Australia,MGMT2030,Huam resource management and strategy,MGMT3429,Strategy human resources management
Australian National University,Australia,N/A,Industrial Organization ,ECON2216,Industrial Organization 
Australian National University,Australia,FNCE30003,International finance,FINA0105,International financial management
Australian National University,Australia,ECON2009,Labour economics and industrial relations (P),FINAxxxx,Elective
Australian National University,Australia,FINM3008	,Portfolio Construction,FINAxxxx,Elective (Advanced Level)
Australian National University,Australia,PSYC 3025,Psychopathology Across the Lifespan,PSYC2062,Introduction to psychopathology
Australian National University,Australia,ECON10005,Quantitative methods 1,BUSIxxxx,Elective
Australian National University,Australia,SOCY 1002 	,Self and Society,SOCI1001,Introduction to sociology
Australian National University,Australia,JPNS1012,Spoken Japanese 1,JAPN1088,Japanese language 1 (Part 1)
Australian National University,Australia,ECON2141	,Strategic Thinking: An introduction to Game Theory,ECON2214,Games and decisions
Australian National University,Australia,ECON2091,"The economy, politics and the State",ECON2276,"State, law and the economy"
Deakin University,Australia,MAE306,Applied econometrics for economics and finance,ECON2280,Introductory econometrics (mutually exclusive courses: STAT3614 and STAT3907)
Deakin University,Australia,MAA303 ,Auditing,ACCT3109,Auditing
Deakin University,Australia,MAF305,Bank management,FINA2331,Management of commercial banks
Deakin University,Australia,MAE305,Business and financial forecasting,ECON2283,Economic forecasting
Deakin University,Australia,MMH356	,Change management,MGMT3476,Managing organizational change
Deakin University,Australia,MMK266,Consumer behaviour,MKTG3501,Consumer behaviour
Deakin University,Australia,MAF307,Equities and investment analysis,FINA2320,Investments and portfolio analysis
Deakin University,Australia,MAF225,Financial planning,FINAxxxx,Elective
Deakin University,Australia,MMH230	,Fundamentals of human resource management,MGMT3434,Human resource: theory and practice
Deakin University,Australia,MMH232,"Human Resources Development
",MGMT3475,Current topics in human resource management
Deakin University,Australia,MMH232,Human resource development,MGMT3458,Human resource planning and career management
Deakin University,Australia,MAE317,International business economics,ECONxxxx,Elective
Deakin University,Australia,MAF306,International finance and investment,FINA2383,International financial management
Deakin University,Australia,AIR108,International relations,POLI2106,Introduction to international relations
Deakin University,Australia,MAE213,International trade,ECON2252,Theory of international trade
Deakin University,Australia,ASC101,Introduction to sociologyA,SOCI1001,Introduction to sociology
Deakin University,Australia,MMK132,Management,MGMT2401,Principles of management
Deakin University,Australia,MMK277,Marketing management,MKTG2051,Introduction to Marketing
Deakin University,Australia,MMM240,Organisational behaviour,MGMT3405,Organisational behaviour
Deakin University,Australia,ALS100,Spanish 1A,SPAN1001,Spanish I.1
Deakin University,Australia,MAE203,The global economy,ECONxxxx,Elective (advanced level)
Macquaire University,Australia,ACST4002,Actuarial Control Cycle 1,N/A,Elective
Macquaire University,Australia,ACCG352,Applied portfolio management,FINA2802,Investment and portfolio analysis
Macquaire University,Australia,BBA280,Business models and organisation structure,BUSIxxxx,Elective
Macquaire University,Australia,MKTG1003,Consumer Behaviour,MKTG3501,Consumer behaviour
Macquaire University,Australia,MKTG203,Consumer behaviour,BUSI0050,Consumer behaviour
Macquaire University,Australia,MKTG127,Demographic fundemantals,N/A,Elective
Macquaire University,Australia,AFIN3029,Derivative Instruments,FINA2322,Derivatives
Macquaire University,Australia,MKTG306,E-marketing,MKTG3524,Internet marketing
Macquaire University,Australia,BBA220,Entrepreneurship and New Venture Management,MGMT3415,Principles of entrepreneurship
Macquaire University,Australia,BBA220,Entrepreneurship and new venture management,BUSI0015,Principles of entrepreneurship
Macquaire University,Australia,ACCG350,Financial statement analysis,FINA1001,Financial statement analysis
Macquaire University,Australia,MKTG209,Global marketing,MKTG3523,Global marketing
Macquaire University,Australia,MKTG204,Integrated marketing communication,MKTGxxxx,Elective
Macquaire University,Australia,ECON303,International money and finance,ECON2253,International macroeconomics
Macquaire University,Australia,HRM107,Introduction to Human Resources,MGMT3434,Human resources: theory and practice
Macquaire University,Australia,COMP115,Introduction to computer science,ENGG1202,Introduction to computer
Macquaire University,Australia,COMP115,Introduction to computer science,ENGG1202,Introduction to computer science
Macquaire University,Australia,HRM107,Introduction to human resources,BUSI0034,Human resource: theory & practice
Macquaire University,Australia,SPN101,Introductory Spanish I,N/A,Elective
Macquaire University,Australia,ASTR170,Introductory astronomy: our place in the Universe,N/A,Elective
Macquaire University,Australia,ECON241,Introductory econometrics ,ECON2280,Introductory econometrics (mutually exclusive courses: STAT3614 and STAT3907)
Macquaire University,Australia,ECON204,Macroeconomic analysis,ECON2114,Macroeconomics analysis (mutually exclusive course: ECON2102)
Macquaire University,Australia,ECON110,Macroeconomic principles,ECON1002,Introduction to economics II
Macquaire University,Australia,MKTG101,Marketing Fundamentals,MKTG2501,Introduction to marketing
Macquaire University,Australia,MKTG202,Marketing research,MKTG3502,Marketing research
Macquaire University,Australia,ECON2003,Microeconomic Analysis and Applications,ECON2210,Intermediate Microeconomics
Macquaire University,Australia,ECON203,Microeconomic analysis,ECON2101,Microeconomic theory (mutually exclusive course: ECON2113)
Macquaire University,Australia,ACCG329,Security pricing and hedging,FINA0301,"Derivatives (mutually exclusive courses: ISME3010, MATH2906, STAT2820, STAT3303 and STAT2812)"
Macquaire University,Australia,MKTG207,Services marketing,BUSI0038,Services marketing
Monash University,Australia,ATS1297,Academic writing,N/A,Elective
Monash University,Australia,ACC3100,Advanced financial accounting,N/A,Elective
Monash University,Australia,ACC3600,Auditing and assurance,ACCT3109,Auditing
Monash University,Australia,BT2210,Australian company law,BUSIxxxx,Elective
Monash University,Australia,CDS2511,Branding for Designers,MKTG3512,Brand management
Monash University,Australia,MGF3684,Business strategy,STRA4701,Strategic management
Monash University,Australia,MKC2110,Buyer behavior in marketing,BUSIxxxx,Elective
Monash University,Australia,MKC2110,Buyer behaviour in marketing,MKTG3501,Consumer behavior
Monash University,Australia,BFF2401,Commercial banking and finance,FINA2331,Management of commercial banks
Monash University,Australia,BFC2140,Corporate finance,FINA1310,Corporate Finance
Monash University,Australia,AFC2131,Cost information for decision making,N/A,Elective
Monash University,Australia,ATS2716,Cultural diversity and identity,SOCI2008,Culture and society
Monash University,Australia,BFC2340,Debt markets and fixed income securities,FINA3323,Fixed income securities
Monash University,Australia,BFF3751,"Derivatives
",FINA2322,Derivatives
Monash University,Australia,BFC3241,"Equities and investment analysis/
Investments (Changed since 2023)",FINA3326,Equity valuation and investment management
Monash University,Australia,ATS1259,Exploring contemporary Australia,N/A,Elective
Monash University,Australia,BTC3200,Finance Law,FINA3383,Financial Regulations and Compliance
Monash University,Australia,AFC2000,Financial institutions and markets,FINA0102,Financial markets and institutions
Monash University,Australia,BFC3341,Fixed Income Analysis,FINA3323,Fixed Income Securities
Monash University,Australia,ECON2000,Intermediate microeconomics,ECON2210,Intermediate microeconomics
Monash University,Australia,MGF2351,International Business,STRA3702,International Business Environment
Monash University,Australia,BFC3240	,International Finance,FINA2383,International Financial Management
Monash University,Australia,AFC3240,International finance,FINA0105,International financial management
Monash University,Australia,BFF2341,International financial management,FINA2383,International financial management
Monash University,Australia,LAW4155,International human rights,N/A,Elective
