University,University-Country,Exchange-Course-Code,Exchange-Course-Title,HKU-Course-Code,HKU-Course-Title
"Aalto University, School of Science",,CS-C3140,Operating Systems,COMP3230,
"Aalto University, School of Science",,CS-E3190,Principles of Algorithmic Techniques D,COMP3251,
"Aalto University, School of Science",,CS-C3240,Machine Learning,COMP3314,
"Aalto University, School of Science",,CS-C3130,Information Security,COMP3355,
"Aalto University, School of Science",,CS-C3170,Web Software Development,CSEL0001,
"Aalto University, School of Science",,ELEC-C7420,Basic principles in networking,COMP3234,
"Aalto University, School of Science",,CS-C1000,Introduction to Artificial Intelligence,COMP3270,
"Aalto University, School of Science",,CS-E4800,Artificial Intelligence D,COMP3270,
"Aalto University, School of Science",,CS-C3150,Software Engineering,COMP3297,
"Aalto University, School of Science",,CS-C3240,Machine Learning D,COMP3314,
"Aalto University, School of Science",,CS-E4580,Programming Parallel Computers D,CSEL0001,
"Aalto University, School of Science",,CS-E4350,Security Engineering D,CSEL0002,
"Aalto University, School of Science",,CS-E433001,Special Course in Information Security D: Malware analysis a,CSEL0003,
"Aalto University, School of Science",,CS-E5480,Digital Ethics D,NCSE0001,
"Aalto University, School of Science",,CS-E4500,Advanced Course in Algorithms,COMP3250,
"Aalto University, School of Science",,CS-E4800,Artificial Intelligence,COMP3270,
"Aalto University, School of Science",,CS-A1153,Databases,COMP3278,
"Aalto University, School of Science",,CS-C3150,Software Engineering,COMP3297,
"Aalto University, School of Science",,CS-E5370,Law in Digital Society,COMP3311,
"Aalto University, School of Science",,CS-E4840,Information Visualization,CSEL0001,
"Aalto University, School of Science",,CS-E3190,Principles of Algorithmic Techniques,COMP3250,
"Aalto University, School of Science",,T-79.4202,Principles of Algorithmic Techniques,COMP3250,
"Aalto University, School of Science",,CS-E3210,Machine Learning: Basic Principles,COMP3314,
"Aalto University, School of Science",,T-61.3050,Machine Learning: Basic Principles,COMP3314,
"Aalto University, School of Science",,T-61.5130,Machine Learning and Neural Networks,COMP3314,
"Aalto University, School of Science",,CS-E4320,Cryptography and Data Security,COMP3327,
"Aalto University, School of Science",,T-79.4502,Cryptography and Data Security,COMP3327,
"Aalto University, School of Science",,CS-E4600,Algorithmic Methods of Data Mining,CSEL0001,
"Aalto University, School of Science",,T-61.5060,Algorithmic Methods of Data Mining,CSEL0001,
"Aalto University, School of Science",,T-79.5105,Answer Set Programming,CSEL0003,
"Aalto University, School of Science",,T-110.5130,,CSEL0002,
"Aalto University, School of Science",,T-76.5150,,CSEL0003,
"Aalto University, School of Science",,T-106.5300,,CSEL0006,
"Aalto University, School of Science",,T-79.4101,,CSEL0007,
"Aalto University, School of Science",,T-61.5010,,CSEL0008,
"Aalto University, School of Science",,T-106.5400,,CSEL0009,
"Aalto University, School of Science",,T-76.3601,,CSIS0297,
"Aalto University, School of Science",,T-61.5070,,CSIS0317,
Akita International University,,MAT340,Poetry of Programming,COMP3258,
Akita International University,,INF260,Information Science,CSEL0001,
Akita International University,,PHY100,Introduction to Physics,NCSE0005,
Akita International University,,CHM100,Introduction to Chemistry,NCSE0006,
Akita International University,,JAS115,Traditional Japanese Arts I: Tea Ceremony,NCSE0007,
Akita International University,,CCS220,Machine Learning and Big Data,COMP3314,
Akita International University,,JPL206-1_S,Upper Elementary Japanese 206,NCSE0001,
Akita International University,,JAS380-1_S,Akita Rural Studies,NCSE0002,
Akita International University,,CHM100-1_S,Introduction to Chemistry,NCSE0003,
Akita International University,,CCS220-1_S,Machine Learning and Big Data,NCSE0004,
Akita International University,,PHY100-1_S,Introduction to Physics,NCSE0006,
Akita International University,,JPL305-2_S,Intermediate Japanese 305,NCSE0008,
CentraleSupelec,,2EL1580,Artificial Intelligence,COMP3270,
CentraleSupelec,,2EL1120,Interactive Robotic Systems,COMP3356,
CentraleSupelec,,ST76,High Performance Simulation for Footprint Reduction,COMP3358,
Columbia University,,CSEEW4119,Computer Network,COMP3234,
Columbia University,,COMSW4156,Advanced Software Engineering,COMP3297,
Columbia University,,CSEEW4119,Computer networks,COMP3234,
Columbia University,,COMSW4156,Advanced Software Engineering,COMP3297,
Columbia University,,COMSW4261,Introduction to Cryptography,COMP3357,
Columbia University,,CSEEW4119,Computer Networks,COMP3234,
Columbia University,,CSORW4231,ANALYSIS OF ALGORITHMS I,COMP3250,
Columbia University,,COMSW4701,Artificial Intelligence,COMP3270,
Columbia University,,COMSW4771,Machine Learning,COMP3314,
Columbia University,,COMS4419,"Internet Technology, Economics and Policy",CSEL0001,
Columbia University,,COMS4995,Building a Technology Startup,CSEL0002,
Concordia University,,COMP346,Operating Systems,COMP3230,
Concordia University,,COMP445,Data Communication and Computer Networks,COMP3234,
Concordia University,,COMP465,Design and Analysis of Algorithms,COMP3251,
Concordia University,,COMP472,Introduction to Artificial Intelligence,COMP3270,
Concordia University,,COMP425,Computer Vision,COMP3317,
Concordia University,,RELI216,Encountering Religions,NCSE0001,
Concordia University,,PHYS273,Energy and Environment,NCSE0002,
Drexel University,,CS472,Computer Networks,COMP3234,
Drexel University,,CS303,Algorithmic Number Theory and Cryptography,COMP3357,
Drexel University,,CS345,Computer Game Design and Development,CSEL0001,
Drexel University,,CS361,Concurrent Programming,CSEL0002,
Drexel University,,CS435,Computational Photography,CSEL0003,
Drexel University,,CS438,Game Engine Programming,CSEL0004,
Drexel University,,INFO101,Introduction to Computing and Security Technology,CSEL0005,
Drexel University,,CT140,Network Administration I,CSEL0006,
Drexel University,,JAPN101,Japanese I,NCSE0001,
Drexel University,,GMAP301,Game History,NCSE0002,
Drexel University,,JAPN102,Japanese II,NCSE0003,
Drexel University,,SCRP150,Entertainment Storytelling Fundamentals,NCSE0004,
Drexel University,,THTR116,Philadelphia Theatre Let's Go,NCSE0005,
Drexel University,,GMAP260,Overview of Computer Gaming,NCSE0006,
Drexel University,,CS281,Systems Architecture,COMP2120,
Drexel University,,CS277,Algorithms and Analysis,COMP3250,
Drexel University,,CS461,Database Systems,COMP3278,
Drexel University,,CS380,Artificial Intelligence,CSEL0001,
Drexel University,,CS430,Computer Graphics,CSEL0002,
Drexel University,,CS341,Serious Game Development,CSEL0003,
Drexel University,,INFO-151,Web Systems & Services I,CSEL0004,
Drexel University,,CT-140,Network Administration I,CSEL0005,
Drexel University,,INFO151,Web Systems and Services I,CSEL0006,
Drexel University,,INFO101,Introduction to Computing and Security Technology,CSEL0007,
Drexel University,,CS370,Operating Systems,COMP3230,
Drexel University,,ECEC357,Introduction to Computer Networks,COMP3234,
Drexel University,,CS472,"Computer Networks - Theory, Applications and Programming",COMP3234,
Drexel University,,CS458,Data Structures and Algorithms II,COMP3250,
Drexel University,,CS458,Data Structures and Algorithms II,COMP3250,
Drexel University,,CS458,Data Structures and Algorithms II,COMP3250,
Drexel University,,CS360,Programming Language Concepts,COMP3259,
Drexel University,,CS380,Artificial Intelligence,COMP3270,
Drexel University,,CS380,Artificial Intelligence,COMP3270,
Drexel University,,CS380,Artificial Intelligence,COMP3270,
Drexel University,,CS461,Database Systems,COMP3278,
Drexel University,,CS461,Database Systems,COMP3278,
Drexel University,,CS383,Machine Learning,COMP3314,
Drexel University,,CS275,Web and Mobile App Development,COMP3330,
Drexel University,,CS275,Web and Mobile App Development,CSEL0001,
Drexel University,,MUSC121,Music Theory 1,NCSE0001,
Drexel University,,ECON201,Principles of Microeconomics,NCSE0001,
Drexel University,,PSY330,Cognitive Psychology,NCSE0001,
Drexel University,,MUSC152,Survey of Songwriting,NCSE0002,
Drexel University,,ECON202,Principles of Macroeconomics,NCSE0002,
Drexel University,,INFO151,,CSEL0001,
Drexel University,,INFO365,,CSEL0002,
Drexel University,,INFO153,,CSEL0003,
Drexel University,,ECEC357,,CSIS0234,
Embry-Riddle Aeronautical University,,CS420,Operating Systems,COMP3230,
Embry-Riddle Aeronautical University,,CS455,Artificial Intelligence,COMP3270,
Embry-Riddle Aeronautical University,,SE300,Software Engineering Practices,COMP3297,
Embry-Riddle Aeronautical University,,CS426,Digital Forensics,CSEL0001,
Embry-Riddle Aeronautical University,,EC211,Macroeconomics,NCSE0001,
Embry-Riddle Aeronautical University,,MA222,Business Statistics,NCSE0002,
ETH Zurich,,252-0064-00L,Computer Networks,COMP3234,
ETH Zurich,,252-0063-00L,Data Modelling and Databases,COMP3278,
ETH Zurich,,252-0220-00L,Introduction to Machine Learning,COMP3314,
Ewha Womens University,,Computer,Networks,COMP3234,
Fudan University,,COMP130004.02,Data Structure,COMP2119,
Fudan University,,COMP130110.02,Operating Systems,COMP3230,
Fudan University,,COMP130136,Computer Networks,COMP3234,
Griffith University,,2501ICT,,CSEL0001,
Griffith University,,2503ICT,,CSEL0002,
Griffith University,,2509ICT,,CSIS0297,
Griffith University,,1304BPS,,NCSE0001,
Griffith University,,2505BPS,,NCSE0002,
Griffith University,,2507BPS,,NCSE0003,
Griffith University,,2508BPS,,NCSE0004,
Griffith University,,2510BPS,,NCSE0005,
Griffith University,,3509BPS,,NCSE0006,
KAIST,,CS330,Operating Systems and Lab,COMP3230,
KAIST,,CS470,Introduction to Artificial Intelligence,COMP3270,
KAIST,,CS360,Introduction to Database,COMP3278,
KAIST,,CS348,Introduction to Information Security,COMP3355,
KAIST,,CS372,Natural Language Processing with Python,COMP3361,
Keio University,,FEC-EC-35113-212,Introduction to Artificial Intelligence,COMP3270,
Keio University,,CIN-CO-00133-212,Understanding Japan through Cross-Cultural Comparison,NCSE0001,
Keio University,,CIN-CO-90313-212,Computers in Japanese Society and Beyond,NCSE0002,
Keio University,,FEC-EC-35113-222,TIME SERIES ANALYSIS A,NCSE0004,
Keio University,,CIN-CO-00133-212,OTAKU CULTURE IN JAPAN AND ITS TRANSNATIONAL RELATION,NCSE0005,
Keio University,,IGR-CO-00109-232,CYBER CIVILIZATION: REVOLUTION AND EVOLUTION,NCSE0006,
King's College London,,COMP0147,Discrete Mathematics for Computer Scientists,COMP2121,
King's College London,,COMP0008,Computer Architecture and Concurrency,COMP3231,
King's College London,,COMP0023,Networked Systems,COMP3234,
