University,University-Country,Exchange-Course-Code,Exchange-Course-Title,HKU-Course-Code,HKU-Course-Title
Griffith University,Australia,2201ENG,Engineering Thermodynamics,MECH3402,Engineering thermodynamics
Griffith University,Australia,3004ENG,Project Management Principles,MECH4410,Engineering & technology management
Griffith University,Australia,3319ENG,Power Transmission and Distribution,MECH3406,Electrical and electronic engineering
Griffith University,Australia,3505ENG,Heat and Mass Transfer,MECH4411,Heat transfer
Griffith University,Australia,3511ENG,Design of Machine Elements,MECH3427,Design and manufacture
Melbourne (University of),Australia,ACCT10001,Accounting Reports and Analysis,ACCT1101,Introduction to financial accounting
Melbourne (University of),Australia,COMP10002,Foundations of Algorithms,COMP2119,Introduction to data structures and algorithms
Melbourne (University of),Australia,COMP20007,Design of Algorithms,COMP3250,Design and analysis of algorithms
Melbourne (University of),Australia,COMP20008,Elements of Data Processing,CompScXXXX,Discipline elective course in BEng(CompSc) programme
Melbourne (University of),Australia,COMP30026,Models of Computation,ELECTIVE,Elective course in BEng(CivE) programme
Melbourne (University of),Australia,COMP90016,Computational Genomics,COMP3353,Bioinformatics
Melbourne (University of),Australia,COMP90041,Programming and Software Development,COMP2396,Object-oriented programming and Java
Melbourne (University of),Australia,CVEN90048,Transport Systems,CIVL3119,Traffic engineering
Melbourne (University of),Australia,ECON10004,Introductory Microeconomics,ECON1210,Introductory microeconomics
Melbourne (University of),Australia,INFO20003,Database Systems,COMP3278,Introduction to database management systems
Melbourne (University of),Australia,MKTG10001,Principles of Marketing,MKTG2501,Introduction to marketing
Melbourne (University of),Australia,ELEN20005,Foundations of Electrical Networks,MECH3406,Electrical and electronic engineering
Melbourne (University of),Australia,ELEN90055,Control Systems,ELEC4250,Control systems
Melbourne (University of),Australia,ELEN90075,Power Electronics,ELEC3143,Power electronics
Melbourne (University of),Australia,MCEN30017,Mechanics & Materials,MECH4415,Applied stress and strength analysis
Melbourne (University of),Australia,MCEN30018,Thermodynamics and Fluid Mechanics,MECH3402,Engineering thermodynamics
Melbourne (University of),Australia,MCEN30020,Systems Modelling and Analysis,MECH4404,Automatic control
Melbourne (University of),Australia,PHIL20033,The Philosophy of Mind,ELECTIVE,Elective course in BEng(CompSc) programme
Melbourne (University of),Australia,MUSI20149,Music Psychology,ELECTIVE,Elective course in BEng(CompSc) programme
Monash University,Australia,ACS1000,Principle of accounting and finance,ACCT1101,Introduction to financial accounting
