University,University-Country,Exchange-Course-Code,Exchange-Course-Title,HKU-Course-Code,HKU-Course-Title
Aalto University,Finland,FIN-A0103,Fundamentals of Corporate Finance,FINA1310,Corporate Finance
Aalto University,Finland,MNGT-E3002,Megatrends as Entrepreneurial Opportunities,IIMTxxxx,Elective (Advanced Level)
Aalto University,Finland,TU-E4070,Entrepreneurial marketing,,Elective
Aalto University,Finland,TU-E1160,International economics,ECON2252,Theory of international trade
Aalto University,Finland,TU-91.2043 + T-76.5750,International economics + Seminar on law and technology P,,Elective
Aalto University,Finland,MNGT-C1001,Introduction to Strategic Management,STRA4701,Strategic Management
Aalto University,Finland,TU-E3041,Leadership and Change Management D,BUSI3809,Leadership Development Programme
Aalto University,Finland,TU-91.2010 + LC-0430,Managerial economics + Directed studies in intercultural communication L,,Elective
Aalto University,Finland,MNGT-E1010,Managing Organizational Behaviour,MGMT3405,Organisational behaviour
Aalto University,Finland,23C60000,Market research,MKTG3502,Marketing research
Aalto University,Finland,MARK-C6055,Marketing Analytics: Introduction to the use of data in marketing decision making,MKTG3528,Marketing Analytics
Aalto University,Finland,MNGT-E1005,Strategy in Action,STRA4701,Strategic Management
Aalto University,Finland,MNGT-E3004,"Sustainable Entrepreneurship, Markets, and Systems Change",STRAxxxx,Elective
Aalto University,Finland,FIN-A0105,Fundamentals of Financial Markets and Institutions,FINA2330,Financial Markets and Institutions 
Aalto University,Finland,37E00200,Strategic information technology management,IIMT2601,Management Information Systems
Aalto University,Finland,31C014100,Russian Economy: Opportunities and Challenges for Doing Business,ECONxxxx,Senior level disciplinary elective
Aalto University,Finland,MNGT-E2013,Strategic Marketing in Global Context,MKTG3523,Global Marketing 
Aalto University,Finland,TU-E2220,Financial engineering 2,FINAxxxx,Elective
Aalto University,Finland,28C00800,Financial markets and institutions,FINA2330,Financial markets and institutions
Aalto University,Finland,Kie-98.7009 + TU-91.2009,Get to know Finland + Entrepreneurial finance,,Elective
Aalto University,Finland,LC-5711 + LC-7009,Swedish for international students 1A + Get to know Finland,SWED1001,Swedish I.1
Aalto University,Finland,37E00300,ICT enabled business process development,IIMT3622,Business transformation
Aalto University,Finland,T-61.5100 + TU-91.2036,Information visualization + Contracting in strategy and venturing,,Elective
Aalto University,Finland,23C79050,Innovation in an age of constant change,MKTG3526,Innovation and new product development
Aalto University,Finland,ECON-C2200,Intermediate Microeconomics II,ECONxxxx,Advanced level elective
Aalto University,Finland,31C02100,Urban Economics,ECON2266,Urban Economics
Aalto University,Finland,LC-5771/LC-5772,Swedish for international students 1A / Swedish for international students 1B,SWED1001,Swedish I.1
Aalto University,Finland,CS-E4500,Advanced Course in Algorithms,COMP3250,Design and analysis of algorithms
Aalto University,Finland,25C00100,Entrepreneurship and innovation management,IIMT3682,IT and entrepreneurship
Aalto University,Finland,ECON-C1300,Environmental Economics and Policy,ECON3232,Economics of Sustainability
Aalto University,Finland,23C59000,Consumer research,MKTG3501,Consumer Behaviour
Aalto University,Finland,ELEC-E4420,Microwave engineering I,ELEC4249,Microwave engineering
Aalto University,Finland,TU-E1110,Strategic marketing,MKTG3531,Strategic marketing management
