University,University-Country,Exchange-Course-Code,Exchange-Course-Title,HKU-Faculty,HKU-Course-Code,HKU-Course-Title
Australian National University,Australia,ASIA2039,Burma/Myanmar - a Country in Crisis,POLI,TGCR9000,Global Citizenship for Social Sciences
Australian National University,Australia,POLS2133,International Organisations in World Politics,POLI,TGCR9000,Global Citizenship for Social Sciences
Australian National University,Australia,PSYC2007,Biological Basis of Behaviour,PSYC,PSYC2022,Biological psychology
Australian National University,Australia,PSYC2008,Cognition,PSYC,PSYC2007,Cognitive psychology
Australian National University,Australia,PSYC2011,Introduction to Forensic and Criminal Psychology,PSYC,TGCR9000,Global Citizenship for Social Sciences
Australian National University,Australia,PSYC3026,Personality Psychology,PSYC,TGCR9000,Global Citizenship for Social Sciences
Deakin University,Australia,ACR203,"Crime, Victims and Justice",POLI,TGCR9000,Global Citizenship for Social Sciences
Deakin University,Australia,AGS200,Cultural Studies of Sex and Gender,SOCI,TGCR9000,Global Citizenship for Social Sciences
Deakin University,Australia,AIP230,Understanding Public Policy,POLI,POLI3027,Public policy-making: theories and application
Deakin University,Australia,AIP243,Europe's Political Transformation,SMLC,EUST1010,Foundations of European Studies
Deakin University,Australia,AIP301,Political Parties and Social Movements,POLI,TPOL9000,Unmapped advanced course for Politics and Public Administration
Deakin University,Australia,AIR345,American Foreign Policy,POLI,POLI3047,United States foreign policy
Deakin University,Australia,ASC207,"Consumerism, Gender And Sustainability",SOCI,TGCR9000,Global Citizenship for Social Sciences
Deakin University,Australia,ASC210,Youth Culture and Identity,SOCI,TGCR9000,Global Citizenship for Social Sciences
Deakin University,Australia,ASC211,Religion and Social Change,SOCI,SOCI2061,Religion and society
Deakin University,Australia,ASP215,"Philosophy, Happiness, and the Good Life",SOH,TFSS9000,Unmapped advanced course for Social Sciences
Deakin University,Australia,EDU201,Educational Psychology,PSYC,PSYC2035,Introduction to educational psychology
Deakin University,Australia,EDU201,Educational Psychology,PSYC,TGCR9000,Global Citizenship for Social Sciences
Deakin University,Australia,HPS203,The Human Mind,PSYC,PSYC2007,Cognitive psychology
Deakin University,Australia,HPS310,"Brain, Biology and Behaviour",PSYC,PSYC2022,Biological psychology
Deakin University,Australia,HSE113,"Human Growth, Development and Ageing for Exercise Scientists",EXSC,TFSS9001,Unmapped introductory course for Social Sciences
Deakin University,Australia,MAE203,The Global Economy,HKUBS,TGCR9000,Global Citizenship for Social Sciences
Deakin University,Australia,MMM240,Organisational Behaviour,HKUBS,TGCR9000,Global Citizenship for Social Sciences
Flinders University,Australia, SOCI2015 ,Sociology of Deviance,SOCI,TSOC9000,Unmapped advanced course for Sociology
Flinders University,Australia,3105,Intercultural Communication in Everyday Life  ,SOH,TGCR9000,Global Citizenship for Social Sciences
Flinders University,Australia,CRIM2201,Punishment and Society,SOCI,SOCI2047,Sociology of punishment
Flinders University,Australia,CRIM2301,Criminal Law in Context,LLAW,TFSS9000,Unmapped advanced course for Social Sciences
Flinders University,Australia,CRIM3302,International Criminal Justice,SOCI,SOCI2076,Globalization and crime
Flinders University,Australia,FREN1201,Introductory French Part 1,SMLC,FREN1001,French I.1
Flinders University,Australia,LING2103,"Language, Culture and Communication",SOH,TGCR9000,Global Citizenship for Social Sciences
Flinders University,Australia,PHIL1010  ,Mind and World,SOH,TFSS9001,Unmapped introductory course for Social Sciences
Flinders University,Australia,PHIL2607  ,Happiness and the Good Life,SOH,PHIL2320,Happiness
Flinders University,Australia,PSYC1107,The Psychology of Weird and Wonderful Ideas,PSYC,TGCR9000,Global Citizenship for Social Sciences
Flinders University,Australia,PSYC3004,Advanced Social Psychology,PSYC,TPSY9000,Unmapped advanced course for Psychology
Flinders University,Australia,PSYC3008,Applied Cognitive Psychology,PSYC,TPSY9000,Unmapped advanced course for Psychology
Flinders University,Australia,PSYC3236,Forensic Psychology: Legal and Clinical,PSYC,TGCR9000,Global Citizenship for Social Sciences
Flinders University,Australia,SOAD2002,Human Social Development,SWSA,SOWK1004,Human behaviour and the social environment (I)
Flinders University,Australia,SOAD2006,Community Development,SWSA,SOWK3109,Foundation of social work practice III
Flinders University,Australia,SPAN1201,Introductory Spanish Part 1,SMLC,SPAN1001,Spanish I.1
Griffith University,Australia,1003MKT,Introduction to Marketing ,HKUBS,MKTG2501,Introduction to marketing
Griffith University,Australia,1011PSY,Psychology in Professional Contexts,PSYC,TGCR9000,Global Citizenship for Social Sciences
Griffith University,Australia,1043SCG,Introduction to Environmental Sustainability,GEOG,TGEO9001,Unmapped introductory course for Geography
Griffith University,Australia,2005EHR,Organisational Behaviour,HKUBS,TGCR9000,Global Citizenship for Social Sciences
Griffith University,Australia,2006GIR,"Politics, Spin and the Media",POLI,TPOL9000,Unmapped advanced course for Politics and Public Administration
Griffith University,Australia,2007CCJ,Sociology of Crime,SOCI,TGCR9000,Global Citizenship for Social Sciences
Griffith University,Australia,2007PSY,Biological Psychology ,PSYC,PSYC2022,Biological psychology
Griffith University,Australia,2015PSY,Developmental Psychology,PSYC,PSYC2009,Life-span developmental psychology
Griffith University,Australia,2016PSY,Personality Psychology,PSYC,TGCR9000,Global Citizenship for Social Sciences
Griffith University,Australia,2017GIR,International Relations Theory,POLI,TGCR9000,Global Citizenship for Social Sciences
Griffith University,Australia,2019GIR,Politics of International Law and Organisations,POLI,TPOL9000,Unmapped advanced course for Politics and Public Administration
Griffith University,Australia,2020PSY,Career Psychology and Counselling,SWSA,SOWK2120,Counselling in business setting
Griffith University,Australia,2020PSY,Career Psychology and Counselling,SWSA,TGCR9000,Global Citizenship for Social Sciences
Griffith University,Australia,2048IBA,Understanding Asia: From Silk to Belt Roads ,GEOG,TGCR9000,Global Citizenship for Social Sciences
Griffith University,Australia,2059LHS,A History of Nature,SOH,TGCR9000,Global Citizenship for Social Sciences
Griffith University,Australia,2101LHS,Australia and The World,SOH,TGCR9000,Global Citizenship for Social Sciences
Griffith University,Australia,2101LHS,Australia and The World: 1788 to the Present,SOH,TGCR9000,Global Citizenship for Social Sciences
Griffith University,Australia,2107ENV,Introduction to Geographic Information Systems,GEOG,GEOG2090,Introduction to geographic information systems
Griffith University,Australia,2143LHS,Sociology of Identity,SOCI,TGCR9000,Global Citizenship for Social Sciences
Griffith University,Australia,2143LHS,Sociology of Identity,SOCI,TSOC9000,Unmapped advanced course for Sociology
Griffith University,Australia,2204HSL,Tourism Management Principles,HKUBS,TGCR9000,Global Citizenship for Social Sciences
Griffith University,Australia,2512LHS ,Public Writing,JMSC,TJMS9000,Unmapped advanced course for Journalism and Media Studies
Griffith University,Australia,2903ENV,"Urban Design History, Theory and Methods",GEOG,GEOG2065,Urban planning: principles and practices
Griffith University,Australia,3005PSY,Counselling Theory and Practice,SWSA,TGCR9000,Global Citizenship for Social Sciences
Griffith University,Australia,3009AHS,Exercise and Sport Psychology,PSYC,TGCR9000,Global Citizenship for Social Sciences
Griffith University,Australia,3011PSY,Lifespan Development,PSYC,PSYC2009,Life-span developmental psychology
Griffith University,Australia,3013GIR,Power and Policy Making,POLI,TGCR9000,Global Citizenship for Social Sciences
Griffith University,Australia,3015CCJ,Youth Justice,SOCI,SOWK2034,Youth crime and juvenile justice issues
Griffith University,Australia,3018PSY,Behaviour Change Skills,SWSA,TGCR9000,Global Citizenship for Social Sciences
